logFC,logCPM,cols,PValue,AdjPValue,GeneID,Length,WormBaseID,entrezgene_id
-0.07465,4.499,#858585,0.9967,1.0,homt-1,892,WBGene00022277,171590
-0.2339,7.56,#858585,0.9475,1.0,nlp-40,715,WBGene00022276,171591
-0.8567,4.878,#858585,0.7113,1.0,rcor-1,2122,WBGene00022278,171592
0.6892,0.6269,#858585,0.7634,1.0,Y74C9A.9,719,WBGene00235381,NA
-1.111,5.665,#858585,0.3269,0.8111,sesn-1,2176,WBGene00022279,171593
-0.5768,4.231,#858585,0.9378,1.0,Y48G1C.12,1097,WBGene00044345,3565580
0.1469,3.964,#858585,0.996,1.0,pgs-1,1409,WBGene00021677,171594
-0.2541,6.392,#858585,0.9394,1.0,csk-1,2604,WBGene00000812,266817
-0.7492,5.101,#858585,0.7241,1.0,Y48G1C.10,2856,WBGene00021683,353378
0.7567,2.729,#858585,0.7724,1.0,Y48G1C.6,742,WBGene00021679,171597
0.6006,3.632,#858585,0.8626,1.0,Y48G1C.9,570,WBGene00021682,3565103
0.7498,3.289,#858585,0.6878,1.0,pid-2,1603,WBGene00021676,171599
-1.19,6.268,#858585,0.3599,0.8649,Y48G1C.8,4895,WBGene00021681,3564797
-0.1711,8.738,#858585,0.9788,1.0,rab-11.1,1294,WBGene00004274,171601
-0.03494,11.46,#858585,0.9905,1.0,rpl-7,826,WBGene00004418,171602
-0.3302,6.063,#858585,0.8871,1.0,mex-3,1828,WBGene00003229,171607
1.837,1.15,#858585,0.05186,0.1941,F53G12.4,1070,WBGene00018772,186189
-1.448,5.952,#858585,0.08113,0.2805,bli-3,4662,WBGene00000253,171608
-1.865,6.285,#858585,0.0122,0.06224,ptr-11,2698,WBGene00004225,171609
1.261,6.594,#858585,0.2272,0.6246,F56C11.6,1792,WBGene00018958,171610
-0.3871,3.649,#858585,0.9856,1.0,F56C11.5,1284,WBGene00018957,186374
0.443,2.224,#858585,0.8986,1.0,F56C11.3,547,WBGene00018955,171611
-1.411,5.28,#858585,0.2786,0.7233,atm-1,7662,WBGene00000227,3565793
-0.6752,2.603,#858585,0.8294,1.0,Y48G1BL.7,1064,WBGene00021666,3565824
-0.9512,2.417,#858585,0.5395,1.0,puf-10,1468,WBGene00004246,NA
-0.6681,2.254,#858585,0.7349,1.0,snpc-3.3,853,WBGene00021662,190031
0.9978,2.22,#858585,0.5192,1.0,Y48G1BM.6,3780,WBGene00021671,NA
-1.632,5.168,#858585,0.07144,0.2529,Y48G1BR.1,2078,WBGene00021675,24105124
1.607,0.2107,#858585,0.1587,0.4758,C53D5.3,222,WBGene00016904,171616
0.9181,3.213,#858585,0.6275,1.0,marc-4,946,WBGene00016903,171616
-0.08871,3.967,#858585,0.998,1.0,ztf-3,1405,WBGene00016905,171617
-0.7613,5.222,#858585,0.8377,1.0,C53D5.1,1768,WBGene00016902,171618
-1.642,3.728,#858585,0.02668,0.1142,C53D5.5,2368,WBGene00016906,171619
-1.5,8.655,#858585,0.1921,0.5487,imb-3,3710,WBGene00002077,3565440
0.5597,2.108,#858585,0.921,1.0,Y48G1A.7,921,WBGene00235385,NA
-1.711,5.515,#858585,0.08357,0.2873,xpo-2,3252,WBGene00002079,171621
-1.105,5.237,#858585,0.3799,0.8979,nol-14,2697,WBGene00021660,171622
-0.8422,4.635,#858585,0.7339,1.0,daf-25,1288,WBGene00000917,171623
-0.5211,2.165,#858585,0.8619,1.0,mbtr-1,2285,WBGene00021661,171624
2.498,-0.2016,#858585,0.02559,0.1106,Y48G1A.2,728,WBGene00021658,171625
-1.676,3.917,#858585,0.05057,0.1901,Y48G1A.1,3059,WBGene00021657,190030
2.5,1.731,#858585,0.05258,0.1964,rnp-8,2140,WBGene00020091,171627
-0.3776,3.784,#858585,0.9866,1.0,R119.2,1740,WBGene00020088,187899
-1.052,3.964,#858585,0.4329,0.982,R119.3,883,WBGene00020089,171628
-0.3342,8.837,#858585,0.9013,1.0,pqn-59,2313,WBGene00004143,266819
-0.4487,4.695,#858585,0.9231,1.0,taf-4,1887,WBGene00006385,171630
-0.317,4.913,#858585,0.9514,1.0,R119.5,2129,WBGene00020090,171631
-0.7551,6.389,#858585,0.7462,1.0,otub-2,2392,WBGene00021733,171633
1.42,1.516,#858585,0.1151,0.3702,Y50C1A.2,1221,WBGene00021734,190091
0.5428,1.848,#858585,0.9249,1.0,C07F11.2,1571,WBGene00015570,171634
-1.496,6.372,#858585,0.1433,0.44,tol-1,4080,WBGene00006593,171635
-0.4737,4.875,#858585,0.8922,1.0,W04C9.4,549,WBGene00021026,171636
1.684,1.02,#858585,0.0497,0.1874,W04C9.5,1110,WBGene00021027,189184
0.9386,3.266,#858585,0.5645,1.0,W04C9.8,557,WBGene00235387,NA
0.03428,4.746,#858585,0.9918,1.0,W04C9.2,452,WBGene00021024,171638
-1.134,5.744,#858585,0.3136,0.7872,haf-4,2531,WBGene00001814,171639
5.165,0.2489,#858585,0.01073,0.05636,Y65B4BL.4,1143,WBGene00022036,171641
0.5798,0.3582,#858585,0.8078,1.0,Y65B4BL.7,922,WBGene00022039,3564829
-0.4399,7.134,#858585,0.872,1.0,acs-13,2867,WBGene00022037,171643
-2.386,6.784,#858585,0.02766,0.1176,Y65B4BL.1,1447,WBGene00022033,171644
-0.09831,3.358,#858585,0.9941,1.0,psf-3,735,WBGene00022043,171645
0.4347,9.72,#858585,0.8949,1.0,icd-2,788,WBGene00022042,171646
-0.6624,7.67,#858585,0.7392,1.0,wwp-1,3001,WBGene00007009,171647
-0.3807,5.736,#858585,0.9459,1.0,ptr-21,3319,WBGene00004235,191752
0.8151,4.046,#858585,0.7281,1.0,Y65B4BR.1,1232,WBGene00022040,190488
-0.3234,4.81,#858585,0.9168,1.0,hum-7,5702,WBGene00002040,171650
0.3516,3.202,#858585,0.9474,1.0,eme-1,1439,WBGene00018923,171652
0.5997,2.495,#858585,0.8347,1.0,sago-2,2936,WBGene00018921,171653
-0.6429,6.496,#858585,0.7686,1.0,Y65B4A.6,2818,WBGene00022029,190485
0.5601,5.788,#858585,0.9519,1.0,vps-20,804,WBGene00022027,171654
0.9048,4.822,#858585,0.6518,1.0,Y65B4A.2,1769,WBGene00022026,171655
-0.05528,5.362,#858585,0.9944,1.0,cus-2,1533,WBGene00022025,171656
-1.238,3.792,#858585,0.1754,0.5125,Y65B4A.8,1971,WBGene00022031,171657
-0.4468,1.846,#858585,0.9284,1.0,Y18H1A.11,891,WBGene00021215,353380
0.1913,4.831,#858585,0.9806,1.0,Y18H1A.4,957,WBGene00021210,171661
0.3116,3.87,#858585,0.9844,1.0,Y18H1A.2,944,WBGene00021208,NA
-1.471,5.899,#858585,0.1541,0.4655,hgap-1,4305,WBGene00021209,171663
-0.6095,1.672,#858585,0.835,1.0,rec-1,1766,WBGene00004332,171664
-1.177,2.777,#858585,0.3681,0.8789,pif-1,2380,WBGene00004028,171665
-2.006,-0.1407,#858585,0.02622,0.1127,Y18H1A.8,456,WBGene00021212,171667
-2.067,7.103,#858585,0.04019,0.1576,zfh-2,5491,WBGene00022518,171670
-1.006,5.554,#858585,0.4901,1.0,ZC123.4,1864,WBGene00022519,171672
