,logFC,logCPM,cols,PValue,AdjPValue,GeneID,Length,WormBaseID,entrezgene_id,cellTypes
0,-0.07465,4.499,#858585,0.9967,1.0,homt-1,892,WBGene00022277,171590.0,"['PVT', 'uterus']"
1,-0.2339,7.56,#858585,0.9475,1.0,nlp-40,715,WBGene00022276,171591.0,"['coelomocyte', 'intestinal cell']"
2,-0.8567,4.878,#858585,0.7113,1.0,rcor-1,2122,WBGene00022278,171592.0,
3,0.6892,0.6269,#858585,0.7634,1.0,Y74C9A.9,719,WBGene00235381,,
4,-1.111,5.665,#858585,0.3269,0.8111,sesn-1,2176,WBGene00022279,171593.0,
5,-0.5768,4.231,#858585,0.9378,1.0,Y48G1C.12,1097,WBGene00044345,3565580.0,
6,0.1469,3.964,#858585,0.996,1.0,pgs-1,1409,WBGene00021677,171594.0,
7,-0.2541,6.392,#858585,0.9394,1.0,csk-1,2604,WBGene00000812,266817.0,"['several structures', 'including anus', 'head neurons', 'hermaphrodite somatic gonadal cell', 'pharyngeal muscle cell', 'and vulval cell']"
8,-0.7492,5.101,#858585,0.7241,1.0,Y48G1C.10,2856,WBGene00021683,353378.0,
9,0.7567,2.729,#858585,0.7724,1.0,Y48G1C.6,742,WBGene00021679,171597.0,
10,0.6006,3.632,#858585,0.8626,1.0,Y48G1C.9,570,WBGene00021682,3565103.0,
11,0.7498,3.289,#858585,0.6878,1.0,pid-2,1603,WBGene00021676,171599.0,
12,-1.19,6.268,#858585,0.3599,0.8649,Y48G1C.8,4895,WBGene00021681,3564797.0,
13,-0.1711,8.738,#858585,0.9788,1.0,rab-11.1,1294,WBGene00004274,171601.0,['gonad']
14,-0.03494,11.46,#858585,0.9905,1.0,rpl-7,826,WBGene00004418,171602.0,
15,-0.3302,6.063,#858585,0.8871,1.0,mex-3,1828,WBGene00003229,171607.0,"['distal tip cell', 'embryonic cell']"
16,1.837,1.15,#858585,0.05186,0.1941,F53G12.4,1070,WBGene00018772,186189.0,
17,-1.448,5.952,#858585,0.08113,0.2805,bli-3,4662,WBGene00000253,171608.0,['hypodermis']
18,-1.865,6.285,#858585,0.0122,0.06224,ptr-11,2698,WBGene00004225,171609.0,
19,1.261,6.594,#858585,0.2272,0.6246,F56C11.6,1792,WBGene00018958,171610.0,
20,-0.3871,3.649,#858585,0.9856,1.0,F56C11.5,1284,WBGene00018957,186374.0,
